2026-04-17 10:30:40.828 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2026-04-17 10:30:40.832 [main] INFO  c.example.usermanagement.UserManagementApplication - Starting UserManagementApplication using Java 1.8.0_421 on xuedongdeMacBook-Pro.local with PID 5909 (/Users/xuedong/CodeBuddy/ai-demo/backend/target/classes started by xuedong in /Users/xuedong/CodeBuddy/ai-demo/backend)
2026-04-17 10:30:40.832 [main] DEBUG c.example.usermanagement.UserManagementApplication - Running with Spring Boot v2.7.18, Spring v5.3.31
2026-04-17 10:30:40.833 [main] INFO  c.example.usermanagement.UserManagementApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-17 10:30:41.551 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-04-17 10:30:41.603 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 41 ms. Found 1 JPA repository interfaces.
2026-04-17 10:30:42.135 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-04-17 10:30:42.145 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-04-17 10:30:42.152 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-04-17 10:30:42.152 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2026-04-17 10:30:42.314 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-17 10:30:42.314 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1426 ms
2026-04-17 10:30:42.368 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-04-17 10:30:42.496 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-04-17 10:30:42.672 [main] INFO  o.s.b.autoconfigure.h2.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:userdb'
2026-04-17 10:30:42.763 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-04-17 10:30:42.804 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2026-04-17 10:30:42.936 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2026-04-17 10:30:43.020 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2026-04-17 10:30:43.627 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2026-04-17 10:30:43.643 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-04-17 10:30:44.050 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-04-17 10:30:44.288 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-04-17 10:30:44.320 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2026-04-17 10:30:44.332 [main] INFO  c.example.usermanagement.UserManagementApplication - Started UserManagementApplication in 3.966 seconds (JVM running for 4.395)
2026-04-17 10:30:44.334 [main] INFO  c.example.usermanagement.UserManagementApplication - 用户管理系统启动成功!
